		4800 - CANALS - WATERWAYS Functions 	 Comments 	5 Items 	2018-02-23 03:33 PM 	10E-OPE-OPE-4800
		4801 - CANALS - WATERWAYS - CANADIAN CANALS - NOT DEPARTMENTAL Functions 	 Comments 	5 Items 	2018-02-23 03:33 PM 	10E-OPE-OPE-4801
		4802 - CANALS - WATERWAYS - FOREIGN CANALS Functions 	 Comments 	1 Item 	2018-02-23 03:13 PM 	10E-OPE-OPE-OPE
		4804 - CANALS - WATERWAYS - POLLUTION Functions 	 Comments 	3 Items 	2018-02-23 03:32 PM 	10E-OPE-OPE-4804
		4806 - CANALS - WATERWAYS - POWER DEVELOPMENT Functions 	 Comments 	4 Items 	2018-02-23 03:32 PM 	10E-OPE-OPE-4806
		4810 - CANALS - WATERWAYS - WATER LEVELS AND GAUGES Functions 	 Comments 	11 Items 	2018-02-23 03:32 PM 	10E-OPE-OPE-4810
		4850 - COOPERATIVE HERITAGE AREAS Functions 	 Comments 	52 Items 	2018-02-23 03:32 PM 	10E-OPE-OPE-4850
		4855 - COOPERATIVE HERITAGE AREAS - ARCHAEOLOGY Functions 	 Comments 	3 Items 	2018-02-23 03:13 PM 	10E-OPE-OPE-4855
		4870 - COOPERATIVE HERITAGE AREAS - DEVELOPMENT AND PLANNING Functions 	 Comments 	23 Items 	2018-02-23 03:13 PM 	10E-OPE-OPE-4870
		4890 - CANADIAN HERITAGE AREAS - INTERPRETIVE SERVICES Functions 	 Comments 	6 Items 	2018-02-23 03:13 PM 	10E-OPE-OPE-4890
		4905 - CANADIAN HERITAGE AREAS - CANADIAN HERITAGE TRAILS Functions 	 Comments 	5 Items 	2018-02-23 03:13 PM 	10E-OPE-OPE-4905
		4908 - CANADIAN HERITAGE AREAS - CANADIAN HERITAGE TRAILS - ABANDONED RAIL LINES Functions 	 Comments 	2 Items 	2018-02-23 03:13 PM 	10E-OPE-OPE-4908
		4911 - CANADIAN HERITAGE AREAS - CANADIAN HERITAGE TRAILS - BICYCLE TRAILS Functions 	 Comments 	4 Items 	2018-02-23 03:13 PM 	10E-OPE-OPE-4911
		4912 - CANADIAN HERITAGE AREAS - CANADIAN HERITAGE TRAILS - CROSS-COUNTRY SKIING TRAIL Functions 	 Comments 	1 Item 	2018-02-23 03:13 PM 	10E-OPE-OPE-4912
		4914 - CANADIAN HERITAGE AREAS - CANADIAN HERITAGE TRAILS - HIKING TRAILS Functions 	 Comments 	1 Item 	2018-02-23 03:13 PM 	10E-OPE-OPE-4914
		4920 - CANADIAN HERITAGE AREAS - CANADIAN HERITAGE TRAILS - HISTORIC TRAILS Functions 	 Comments 	1 Item 	2018-02-23 03:13 PM 	10E-OPE-OPE-4920
		4925 - CANADIAN HERITAGE AREAS - CANADIAN HERITAGE TRAILS - OFF-ROAD VEHICLE TRAILS Functions 	 Comments 	1 Item 	2018-02-23 03:13 PM 	10E-OPE-OPE-4925
		4930 - COOPERATIVE HERITAGE AREAS - RECREATION Functions 	 Comments 	2 Items 	2018-02-23 03:13 PM 	10E-OPE-OPE-4930
		4934 - CANADIAN HERITAGE AREAS - RECREATION - CAMPING Functions 	 Comments 	2 Items 	2018-02-23 03:13 PM 	10E-OPE-OPE-4934
		4945 - CANADIAN HERITAGE AREAS - RESEARCH Functions 	 Comments 	22 Items 	2018-02-23 03:13 PM 	10E-OPE-OPE-4945
		4960 - CANADIAN HERITAGE AREAS - SURVEYS AND STUDIES Functions 	 Comments 	2 Items 	2018-02-23 03:13 PM 	10E-OPE-OPE-4960
		4989 - CANADIAN HERITAGE AREAS - CANADIAN HERITAGE RIVERS Functions 	 Comments 	83 Items 	2018-02-23 03:13 PM 	10E-OPE-OPE-4989
		5002 - HISTORIC PLACES INITIATIVE Functions Modified	 Comments 	216 Items 	2018-03-02 05:55 PM 	10E-OPE-OPE-5002
		5010 - ARCHAEOLOGY Functions Modified	 Comments 	422 Items 	2018-02-27 09:42 AM 	10E-OPE-OPE-5010
		5460 - PROJECTS Functions Modified	 Comments 	1 Item 	2018-03-02 05:55 PM 	10E-OPE-OPE-5460
		5500 - ENVIRONMENTAL PROTECTION Functions Modified	 Comments 	11 Items 	2018-03-02 05:55 PM 	10E-OPE-OPE-5500
		5540 - POLLUTION AND POLLUTANTS Functions Modified	 Comments 	28 Items 	2018-03-02 05:55 PM 	10E-OPE-OPE-5540
		5580 - REPORTS AND RETURNS Functions 	 Comments 	2 Items 	2018-02-23 05:16 PM 	10E-OPE-OPE-5580
		5585 - SURVEYS AND STUDIES Functions 	 Comments 	50 Items 	2018-02-23 05:16 PM 	10E-OPE-OPE-5585
		5586 - GREEN PLAN Functions 	 Comments 	30 Items 	2018-02-23 05:16 PM 	10E-OPE-OPE-5586
		5590 - WATER SUPPLY Functions 	 Comments 	3 Items 	2018-02-23 05:16 PM 	10E-OPE-OPE-5590
		5595 - WILDLIFE Functions 	 Comments 	2 Items 	2018-02-23 05:16 PM 	10E-OPE-OPE-5595
		6000 - LANDS Functions Modified	 Comments 	3 Items 	2018-03-02 05:54 PM 	10E-OPE-OPE-6000
